nom_joueur,numero,poste,taille,poids,age,date_naissance,club_actuel,club_precedent,nationalite,selections,points_totaux,matches_joues,victoires,defaites,ratio_victoires,derniere_selection,competitions,titres,distinctions,bio_courte,url_cv_image,url_page_principale,urls_stats,date_extraction
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:54.676434
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:54.676434
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:49.347822
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:49.347822
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:40.190274
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:40.190274
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:37.347654
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:37.347654
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:35.469025
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:35.469025
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:33.773493
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:33.773493
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:30.588553
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:30.588553
Kevin Tillie,7,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:26.160567
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:24.398033
Quentin Jouffroy,25,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:24.398033
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:21.580015
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:19.017738
Kevin Tillie,7,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:26.160567
Jean Patry,4,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:17.842583
Jean Patry,4,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:17.842583
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:14.175008
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:14.175008
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1230&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:21.580015
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1231&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:54:19.017738
Timothee Carle,23,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1228&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:57:56.297712
Théo Faure,21,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1227&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T09:58:03.069659
